trial,tsc,delta,low8
391,9040342293168,72752256,176
392,9040413553612,71260444,204
393,9040486548764,72995152,28
394,9040560073189,73524425,229
395,9040632830771,72757582,51
396,9040704785694,71954923,30
397,9040775885306,71099612,250
398,9040848885681,73000375,177
399,9040922555330,73669649,194
400,9040993636758,71081428,150
401,9041070794066,77157308,82
402,9041138957314,68163248,2
403,9041212436914,73479600,178
404,9041284370159,71933245,239
405,9041356805284,72435125,164
406,9041432053480,75248196,232
407,9041502974458,70920978,250
408,9041574687551,71713093,63
409,9041646970278,72282727,166
410,9041720626638,73656360,206
411,9041800316675,79690037,3
412,9041871930147,71613472,35
413,9041937969615,66039468,207
414,9042009920361,71950746,105
415,9042081416043,71495682,107
416,9042157102651,75686608,59
417,9042226973840,69871189,144
418,9042300442998,73469158,118
419,9042372458876,72015878,124
420,9042443828412,71369536,188
421,9042533462149,89633737,133
422,9042589895493,56433344,69
423,9042662296676,72401183,100
424,9042734339024,72042348,208
425,9042808252182,73913158,22
426,9042881510707,73258525,51
427,9042953538750,72028043,190
428,9043026255622,72716872,6
429,9043098980109,72724487,13
430,9043169842510,70862401,78
431,9043244802194,74959684,146
432,9043318445442,73643248,130
433,9043391075707,72630265,123
434,9043462157919,71082212,95
435,9043533976218,71818299,154
436,9043608549270,74573052,150
437,9043681470522,72921252,58
438,9043753505570,72035048,34
439,9043823269057,69763487,193
440,9043896766480,73497423,16
441,9043972908244,76141764,212
442,9044047530093,74621849,109
443,9044115314071,67783978,151
444,9044187795919,72481848,207
445,9044259716203,71920284,107
446,9044335696336,75980133,208
447,9044404661706,68965370,202
448,9044482315462,77653756,198
449,9044550772803,68457341,67
450,9044623079458,72306655,34
451,9044696523550,73444092,30
452,9044768178121,71654571,201
453,9044842905079,74726958,247
454,9044912877316,69972237,4
455,9044984571896,71694580,248
456,9045058030854,73458958,6
457,9045129295644,71264790,28
458,9045205288251,75992607,59
459,9045274626580,69338329,20
460,9045348571433,73944853,41
461,9045422113551,73542118,15
462,9045493617551,71504000,143
463,9045569775648,76158097,32
464,9045639218506,69442858,74
465,9045711094534,71876028,6
466,9045786405476,75310942,100
467,9045854371602,67966126,18
468,9045932747603,78376001,83
469,9046002730135,69982532,151
470,9046073200625,70470490,241
471,9046145879461,72678836,165
