trial,tsc,delta,low16,low8
304,93163805568490,288521539,28138,234
305,93164097280927,291712437,39839,159
306,93164382511222,285230295,57462,118
307,93164648080178,265568956,9010,50
308,93164934555786,286475608,26762,138
309,93165241003955,306448169,28595,179
310,93165526612327,285608372,31079,103
311,93165797811258,271198931,42042,58
312,93166076403003,278591745,40251,59
313,93166357042987,280639984,55083,43
314,93166681880967,324837980,31111,135
315,93166937572548,255691581,1220,196
316,93167247662265,310089717,40121,185
317,93167538690978,291028713,23458,162
318,93167811685357,272994379,60397,237
319,93168109834921,298149564,21161,169
320,93168397034894,287199973,42382,142
321,93168674821639,277786745,22023,7
322,93168949359283,274537644,29363,179
323,93169222753581,273394298,7469,45
324,93170429819769,1207066188,31609,121
325,93170504372005,74552236,3877,37
326,93170574158599,69786594,60167,7
327,93170646457450,72298851,7274,106
328,93170717202810,70745360,39290,122
329,93170791357113,74154303,6841,185
330,93170865859893,74502780,60725,53
331,93170937692562,71832669,402,146
332,93171007029018,69336456,65306,26
333,93171080984509,73955491,30653,189
334,93171152269143,71284634,12119,87
335,93171230038102,77768959,55382,86
336,93171304002016,73963914,29152,224
337,93171370258568,66256552,28808,136
338,93171442376963,72118395,57603,3
339,93171515190481,72813518,60625,209
340,93171589049164,73858683,60236,76
341,93171663651302,74602138,16870,230
342,93171735419150,71767848,22798,14
343,93171805384183,69965033,60919,247
344,93171881144566,75760383,61686,246
345,93171955441621,74297055,40917,213
346,93172028563370,73121749,24490,170
347,93172097113761,68550391,24225,161
348,93172171690058,74576297,20554,74
349,93172242674312,70984254,29320,136
350,93172315782247,73107935,64615,103
351,93172389389850,73607603,9754,26
352,93172457860204,68470354,60524,108
353,93172529248834,71388630,14914,66
354,93172604458477,75209643,54765,237
355,93172678825118,74366641,38046,158
356,93172750434967,71609849,17047,151
357,93172819278586,68843619,47866,250
358,93172896039396,76760810,484,228
359,93172966903905,70864509,20577,97
360,93173040218814,73314909,702,190
361,93173115270244,75051430,13412,100
362,93173186819860,71549616,63252,20
363,93173255907791,69087931,10703,207
364,93173332783498,76875707,12682,138
365,93173406861979,74078481,35483,155
366,93173478342163,71480184,15891,19
367,93173547343080,69000917,7400,232
368,93173618442709,71099629,469,213
369,93173691346948,72904239,28676,4
370,93173766584631,75237683,31031,55
371,93173836791836,70207205,49180,28
372,93173909786916,72995080,37156,36
373,93173982700218,72913302,8890,186
374,93174057409086,74708868,6718,62
375,93174129546823,72137737,54855,71
376,93174201416755,71869932,31795,51
377,93174274363607,72946852,37079,215
378,93174344184232,69820625,61864,168
379,93174417454403,73270171,62787,67
380,93174489405314,71950911,55170,130
381,93174563500064,74094750,28704,32
