trial,tsc,delta,low8
454,569510602164,72699403,180
455,569584151737,73549573,185
456,569656970159,72818422,175
457,569728033573,71063414,37
458,569800606814,72573241,94
459,569876285917,75679103,221
460,569949695265,73409348,33
461,570017500957,67805692,29
462,570090655704,73154747,216
463,570165152163,74496459,163
464,570240164077,75011914,237
465,570310811770,70647693,122
466,570385569690,74757920,154
467,570456425501,70855811,29
468,570527970729,71545228,169
469,570601252567,73281838,215
470,570673238633,71986066,105
471,570742320017,69081384,145
472,570816339155,74019138,211
473,570892060083,75720928,179
474,570962044626,69984543,210
475,571041136010,79091384,138
476,571108205416,67069406,104
477,571180574544,72369128,80
478,571255083552,74509008,32
479,571328466959,73383407,15
480,571397703942,69236983,6
481,571470994864,73290922,176
482,571544997792,74002928,160
483,571616433410,71435618,2
484,571687074251,70640841,203
485,571759412769,72338518,33
486,571833106566,73693797,134
487,571907269596,74163030,220
488,571978376184,71106588,248
489,572054262387,75886203,115
490,572122817583,68555196,47
491,572194560188,71742605,188
492,572267864484,73304296,164
493,572345673458,77808974,242
494,572415029134,69355676,142
495,572485008948,69979814,52
496,572558485589,73476641,85
497,572631620440,73134851,88
498,572703347105,71726665,161
499,572779546815,76199710,191
500,572846778756,67231941,132
501,572920725630,73946874,126
502,572992286674,71561044,210
503,573071421459,79134785,19
504,573140438432,69016973,160
505,573210932463,70494031,239
506,573281986357,71053894,53
507,573355874325,73887968,21
508,573430505775,74631450,47
509,573501050250,70544475,138
510,573575451308,74401058,172
511,573646658332,71207024,28
512,573723078508,76420176,108
513,573795880019,72801511,83
514,573866842815,70962796,191
515,573938093155,71250340,99
516,574009127434,71034279,10
517,574085393967,76266533,47
518,574153797182,68403215,62
519,574226561028,72763846,4
520,574299774266,73213238,58
521,574372363157,72588891,149
522,574444126766,71763609,46
523,574518753460,74626694,180
524,574589520534,70767074,150
525,574664576312,75055778,56
526,574739131800,74555488,152
527,574808885426,69753626,178
528,574881100470,72215044,182
529,574950645802,69545332,42
530,575023357018,72711216,90
531,575099219534,75862516,78
532,575170629261,71409727,141
533,575247287575,76658314,23
534,575318118690,70831115,34
535,575387496112,69377422,176
536,575465103022,77606910,174
537,575530860392,65757370,104
538,575607935348,77074956,116
539,575679428665,71493317,57
540,575749961207,70532542,247
541,575824656035,74694828,163
542,575896523145,71867110,137
543,575973848699,77325554,123
544,576044714990,70866291,238
545,576113623395,68908405,99
546,576187167339,73543944,107
547,576261608111,74440772,175
548,576332497673,70889562,9
549,576406279968,73782295,32
550,576478135099,71855131,59
551,576552055911,73920812,103
552,576623738585,71682674,217
553,576693976567,70237982,247
554,576768865067,74888500,43
555,576837839748,68974681,132
556,576912614624,74774876,224
557,576983671396,71056772,100
558,577059634299,75962903,123
559,577128641597,69007298,61
560,577202211579,73569982,251
561,577273437348,71225769,164
562,577345429759,71992411,255
563,577422025762,76596003,34
564,577501018460,78992698,92
565,577564640819,63622359,51
566,577640009107,75368288,147
567,577709918490,69909383,26
568,577783446079,73527589,63
569,577856855833,73409754,25
570,577928335437,71479604,77
571,578001918633,73583196,169
572,578072452234,70533601,138
573,578144688175,72235941,47
574,578219418016,74729841,160
575,578291292154,71874138,250
576,578362157799,70865645,231
577,578437077918,74920119,158
578,578510699925,73622007,149
579,578584480174,73780249,174
580,578656225322,71745148,42
