trial,tsc,delta,low8,low16
370,3853731142708,74596243,52,39988
371,3853804503666,73360958,114,626
372,3853875403040,70899374,32,55584
373,3853945790581,70387541,117,57461
374,3854019476704,73686123,224,15584
375,3854091134777,71658073,57,42809
376,3854163735694,72600917,142,29838
377,3854238332125,74596431,221,46301
378,3854308392125,70060000,189,48317
379,3854383723280,75331155,16,13072
380,3854453512763,69789483,59,6715
381,3854529830360,76317597,216,40408
382,3854603397797,73567437,165,10917
383,3854671432436,68034639,244,19188
384,3854744460069,73027633,37,39717
385,3854818793147,74333078,187,54971
386,3854892275007,73481860,63,5439
387,3854968195938,75920931,98,35682
388,3855037843910,69647972,198,18886
389,3855110318444,72474534,108,10604
390,3855179283725,68965281,13,32013
391,3855254153449,74869724,233,59625
392,3855325597727,71444278,31,4127
393,3855401338507,75740780,139,50827
394,3855469146824,67808317,200,29384
395,3855542883814,73736990,230,38374
396,3855616617795,73733981,67,44355
397,3855689666141,73048346,93,20061
398,3855760775860,71109719,180,23220
399,3855835194832,74418972,208,58832
400,3855908377994,73183162,138,38282
401,3855979862241,71484247,225,22753
402,3856054374717,74512476,61,20797
403,3856124689373,70314656,221,15325
404,3856196730758,72041385,134,32646
405,3856270745942,74015184,86,57686
406,3856341016571,70270629,251,8187
407,3856417869078,76852507,22,52502
408,3856491073527,73204449,247,53239
409,3856559752905,68679378,201,50889
410,3856631653917,71901012,29,58909
411,3856706293106,74639189,114,52594
412,3856779163742,72870636,94,47198
413,3856849267964,70104222,252,27900
414,3856923103292,73835328,60,4156
415,3856993758434,70655142,226,11490
416,3857070014412,76255978,204,49100
417,3857139921492,69907080,84,29268
418,3857214259122,74337630,178,49074
419,3857284115067,69855945,123,43643
420,3857357934177,73819110,97,3681
421,3857429082514,71148337,146,45458
422,3857502230995,73148481,211,55763
423,3857575485109,73254114,181,40629
424,3857647454587,71969478,123,51579
425,3857718366582,70911995,118,53622
426,3857795342891,76976309,43,25131
427,3857870927007,75584116,159,46239
428,3857940091173,69164166,37,4389
429,3858012877088,72785915,32,45344
430,3858082802223,69925135,47,43567
431,3858155159767,72357544,215,49367
432,3858229504534,74344767,22,10774
433,3858302884092,73379558,252,55548
434,3858371849267,68965175,51,11315
435,3858443543403,71694136,107,9067
436,3858518913899,75370496,107,13163
437,3858592364327,73450428,39,63271
438,3858662377645,70013318,173,18605
439,3858739724713,77347068,169,33193
440,3858806428490,66703777,74,21322
441,3858881220781,74792291,173,37037
442,3858955824448,74603667,64,60736
443,3859024414153,68589705,201,34249
444,3859099099204,74685051,68,8260
445,3859168890966,69791762,86,4182
446,3859246301561,77410595,121,16761
447,3859316494501,70192940,165,20645
448,3859392093073,75598572,145,56209
449,3859462866597,70773524,165,50853
450,3859539896168,77029571,104,10088
451,3859608533774,68637606,14,31502
452,3859681635914,73102140,74,61002
453,3859754313134,72677220,174,58798
454,3859828701881,74388747,185,64185
455,3859899729475,71027594,67,50755
456,3859973126578,73397103,178,47538
457,3860041886538,68759960,74,60234
458,3860116059475,74172937,83,46419
459,3860184633486,68574011,142,4238
460,3860260872761,76239275,57,25145
461,3860335327626,74454865,138,31114
462,3860404206868,68879242,20,32020
463,3860477611296,73404428,32,36128
464,3860551478839,73867543,55,44599
465,3860626646827,75167988,43,42795
466,3860705208597,78561770,21,26901
467,3860768768249,63559652,249,16633
468,3860840373040,71604791,48,56112
469,3860913143275,72770235,235,15851
470,3860986030152,72886877,72,26696
471,3861060206239,74176087,159,16031
472,3861132814219,72607980,139,10123
473,3861203741129,70926910,201,27081
474,3861275547513,71806384,121,6009
475,3861349192392,73644879,200,53960
476,3861422592795,73400403,27,54043
477,3861494358847,71766052,63,58175
478,3861567969153,73610306,129,6017
479,3861640171903,72202750,127,53631
480,3861714353063,74181160,167,48039
481,3861787691385,73338322,121,51577
482,3861858947011,71255626,195,4035
483,3861928672195,69725184,195,64451
484,3862004590735,75918540,143,26767
485,3862076472980,71882245,148,16020
486,3862146095401,69622421,41,39209
487,3862219616554,73521153,42,28970
488,3862290040015,70423461,207,1231
489,3862365907602,75867587,146,43666
490,3862437352916,71445314,212,54740
491,3862507019254,69666338,246,56310
492,3862578627193,71607939,121,33401
493,3862653853873,75226680,177,24753
494,3862731306307,77452434,67,13635
495,3862800256565,68950258,53,20021
496,3862873643802,73387237,26,6938
497,3862946936583,73292781,7,30471
498,3863020115373,73178790,173,5549
499,3863089735296,69619923,128,26240
500,3863162107618,72372322,226,46818
501,3863238440258,76332640,66,30018
502,3863307972425,69532167,73,28489
503,3863379636782,71664357,46,61998
504,3863453258063,73621281,79,20815
505,3863525055235,71797172,3,56067
506,3863596731070,71675835,190,35518
507,3863673685494,76954424,246,50678
508,3863745030502,71345008,102,26982
509,3863814982032,69951530,144,51600
510,3863888999305,74017273,137,13193
511,3863961849294,72849989,206,52686
512,3864033973228,72123934,236,21484
513,3864106886591,72913363,191,58815
514,3864179455863,72569272,119,14199
515,3864252163137,72707274,65,42049
516,3864327865498,75702361,154,50330
517,3864417859389,89993891,61,63293
518,3864469230648,51371259,56,54328
519,3864543056963,73826315,67,21571
520,3864613435498,70378535,106,14442
521,3864685753970,72318472,114,46706
522,3864763169925,77415955,133,64645
523,3864836256135,73086210,135,12679
524,3864910452151,74196016,183,21943
525,3864974092007,63639856,231,26343
526,3865048314289,74222282,177,61873
527,3865122552018,74237729,210,47314
528,3865195109120,72557102,0,56064
529,3865266994541,71885421,109,48493
530,3865337811974,70817433,6,21510
531,3865414044632,76232658,216,35800
532,3865486505811,72461179,83,14163
533,3865555670247,69164436,231,38119
534,3865627695914,72025667,42,39722
535,3865703054100,75358186,20,31508
536,3865775478193,72424093,177,38321
537,3865849981928,74503735,232,27624
538,3865919849637,69867709,165,33957
539,3865992226279,72376642,231,58855
540,3866069417802,77191523,74,48970
541,3866139368951,69951149,247,7671
542,3866210619247,71250296,111,20335
543,3866285649800,75030553,136,12168
544,3866354178595,68528795,35,55843
